ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
B620,B,620,630,583,13,581,481,147,1
B621,B,621,538,750,16,485,617,184,1
B622,B,622,534,552,13,474,498,121,1
B623,B,623,574,687,9,474,610,177,1
B624,B,624,540,723,11,485,541,237,1
B625,B,625,481,607,11,439,604,376,1
B626,B,626,400,465,7,358,392,102,1
B627,B,627,405,672,8,330,608,133,1
B628,B,628,325,479,10,256,449,85,1
B629,B,629,325,510,5,243,474,108,1
B630,B,630,392,599,6,320,552,117,1
B631,B,631,295,698,6,265,627,88,1
B632,B,632,385,529,15,321,498,105,1
B633,B,633,262,757,11,217,741,63,1
B634,B,634,454,593,14,429,514,104,1
B635,B,635,435,654,11,412,555,116,1
B636,B,636,392,565,16,325,508,121,1
B637,B,637,349,593,13,311,538,90,1
B638,B,638,432,549,5,422,470,80,1
B639,B,639,428,533,10,381,482,96,1
B640,B,640,313,267,2,277,272,24,1
B641,B,641,345,590,15,356,510,85,1
B642,B,642,371,621,4,317,558,100,1
B643,B,643,301,660,4,253,583,106,1
B644,B,644,340,606,4,283,523,105,1
B645,B,645,282,624,6,252,533,83,1
B646,B,646,393,555,7,328,533,71,1
B647,B,647,366,584,6,290,525,101,1
B648,B,648,386,645,10,320,620,88,1
B649,B,649,327,554,6,287,500,104,1
B650,B,650,357,619,12,299,567,111,1
B651,B,651,333,574,7,271,507,132,1
B652,B,652,363,628,5,331,533,104,1
B653,B,653,356,612,13,294,517,134,1
B654,B,654,374,586,6,307,507,141,1
